200
(126, 162) (126, 162) (126, 162) (126, 162)
(126, 336) (126, 162) (126, 336) (126, 162)
(126, 336) (126, 336) (126, 336) (126, 336)
(264, 162) (126, 162) (264, 162) (126, 162)
(264, 162) (264, 162) (264, 162) (264, 162)
(264, 336) (126, 336) (264, 336) (126, 336)
(264, 336) (264, 162) (264, 336) (264, 162)
(264, 336) (264, 336) (264, 336) (264, 336)
(402, 162) (264, 162) (402, 162) (264, 162)
(402, 162) (402, 162) (402, 162) (402, 162)
(402, 336) (264, 336) (402, 336) (264, 336)
(402, 336) (402, 162) (402, 336) (402, 162)
(402, 336) (402, 336) (402, 336) (402, 336)
(540, 162) (402, 162) (540, 162) (402, 162)
(540, 162) (540, 162) (540, 162) (540, 162)
(540, 336) (402, 336) (540, 336) (402, 336)
(540, 336) (540, 162) (540, 336) (540, 162)
(540, 336) (540, 336) (540, 336) (540, 336)
(678, 162) (540, 162) (678, 162) (540, 162)
(678, 162) (678, 162) (678, 162) (678, 162)
(678, 336) (540, 336) (678, 336) (540, 336)
(678, 336) (678, 162) (678, 336) (678, 162)
(678, 336) (678, 336) (678, 336) (678, 336)
